Batter,Dismissal,R,B,4s,6s,SR
Abhishek Sharma,c Tim David b Zampa,28,21,3,1,133.33
Shubman Gill,b Nathan Ellis,46,39,4,1,117.95
Shivam Dube,b Nathan Ellis,22,18,1,1,122.22
Suryakumar Yadav (c),c Tim David b Xavier Bartlett,20,10,0,2,200.00
Tilak Varma,c Josh Inglis b Zampa,5,6,0,0,83.33
Jitesh Sharma (wk),lbw b Zampa,3,4,0,0,75.00
Washington Sundar,c (sub)M Kuhnemann b Nathan Ellis,12,7,2,0,171.43
Axar,not out,21,11,1,1,190.91
Arshdeep Singh,c Philippe b Stoinis,0,3,0,0,0.00
Varun Chakaravarthy,not out,1,1,0,0,100.00

Extras 9 (b 0  lb 3  w 6  nb 0  p 0)
Total 167-8 (20 Overs  RR: 8.35)
FoW,Abhishek Sharma 56-1 6.4 | Shivam Dube 88-2 11.3 | Shubman Gill 121-3 14.1 | Suryakumar Yadav 125-4 15.1 | Tilak Varma 131-5 16.1 | Jitesh Sharma 136-6 16.4 | Washington Sundar 152-7 18.4 | Arshdeep Singh 164-8 19.4 | Powerplays Overs Runs | mandatory 0.1 - 6 49 | Partnerships
