Bowler,O,M,R,W,ECO,NB,WD
Arshdeep Singh,3,0,22,1,7.30,7.30,
Jasprit Bumrah,4,0,27,1,6.80,6.80,
Varun Chakaravarthy,4,0,26,1,6.50,6.50,
Axar Patel,4,0,20,2,5.00,5.00,
Shivam Dube,2,0,20,2,10.00,10.00,
Washington Sundar,1.2,0,3,3,2.20,2.20,
